run,input,size,levels,dither,elapsed_seconds,input_bytes,output_bytes,api_calls,api_cost_usd
1,T_TSA_Ground_Black_Sand_BaseColor.png,512,10,1.0,0.0392,774686,192361,0,0.00
2,T_TSA_Ground_Black_Sand_BaseColor.png,512,10,1.0,0.0421,774686,192361,0,0.00
3,T_TSA_Ground_Black_Sand_BaseColor.png,512,10,1.0,0.0387,774686,192361,0,0.00
4,T_TSA_Ground_Black_Sand_BaseColor.png,512,10,1.0,0.0386,774686,192361,0,0.00
5,T_TSA_Ground_Black_Sand_BaseColor.png,512,10,1.0,0.0382,774686,192361,0,0.00
6,T_TSA_Ground_Black_Sand_BaseColor.png,512,5,1.0,0.0368,774686,120871,0,0.00
